kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LIB.5.sm_62.ptx 1742 : 20480 2150400 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1743 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1744 : 20480 123104 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1745 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1748 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1761 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1792 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1793 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1796 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1800 : 53248 320096 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1801 : 53248 479232 0 0 0 0 0 0 0 
